A Silent Voice, randome text
Bleach, randome text
Clannad, randome text
Code Geass, randome text
Demon Slayer, randome text
Frieren, randome text
Fruits Basket, randome text
Fullmetal Alchemist Brotherhood, randome text
Gintama, randome text
Hunter x Hunter, randome text
Jujutsu Kaisen, randome text0
Kaguya-sama, randome text
Legend of the Galactic Heroes, randome text
Mushoku Tensei, randome text
Oshi No Ko, randome text
Shingeki no Kyojin, randome text
Steins;Gate, randome text
Vinland Saga, randome text
Violet Evergarden, randome text
Your Name, randome text
