A Silent Voice, nfK6UgLra7g
Bleach, 78WIYzX_m98
Clannad, V3KoHCipdy4
Code Geass, 0vFUS_PuEhY
Demon Slayer, VQGCKyvzIM4
Frieren Beyond Journeys End, Iwr1aLEDpe4 
Fruits Basket, Wz0P0mYYY0Q
Fullmetal Alchemist Brotherhood, kx0nBaS_q50
Gintama, bwvGmPyNQUE
Hunter x Hunter, d6kBeJjTGnY
Jujutsu Kaisen, pkKu9hLT-t8
Kaguya-sama, rZ95aZmQu_8
Legend of the Galactic Heroes, Ou37P25tjJY
Mushoku Tensei, ak5VxfJpzy1Q
Oshi No Ko, zntY4A4GPU0
Shingeki no Kyojin, LV-nazLVmgo
Steins;Gate, uMYhjVwp0Fk
Vinland Saga, f8JrZ7Q_p-8
Violet Evergarden, 0CJeDetA45Q
Your Name, a0CJeDetA45Q
